idx,grapheme,grapheme_root,vowel_diacritic,consonant_diacritic
391,ত্ত্বী,66,3,0
392,ত্ত্বে,66,7,0
393,ত্ত্য,65,0,4
394,ত্থ,67,0,0
395,ত্থা,67,1,0
396,ত্থে,67,7,0
397,ত্ন,68,0,0
398,ত্নি,68,2,0
399,ত্নী,68,3,0
400,ত্নে,68,7,0
401,ত্ব,69,0,0
402,ত্বা,69,1,0
403,ত্বি,69,2,0
404,ত্বী,69,3,0
405,ত্বে,69,7,0
406,ত্ম,70,0,0
407,ত্মা,70,1,0
408,ত্মি,70,2,0
409,ত্মী,70,3,0
410,ত্ম্য,70,0,4
411,ত্ম্যে,70,7,4
412,ত্য,64,0,4
413,ত্যা,64,1,4
414,ত্যি,64,2,4
415,ত্যু,64,4,4
416,ত্যে,64,7,4
417,ত্র,64,0,5
418,ত্রা,64,1,5
419,ত্রি,64,2,5
420,ত্রী,64,3,5
421,ত্রু,64,4,5
422,ত্রে,64,7,5
423,ত্রৈ,64,8,5
424,ত্রো,64,9,5
425,ত্র্য,64,0,6
426,থ,71,0,0
427,থা,71,1,0
428,থি,71,2,0
429,থী,71,3,0
430,থু,71,4,0
431,থে,71,7,0
432,থৈ,71,8,0
433,থো,71,9,0
434,থ্য,71,0,4
435,থ্যা,71,1,4
436,থ্যে,71,7,4
437,থ্রি,71,2,5
438,থ্রো,71,9,5
439,দ,72,0,0
440,দা,72,1,0
441,দাঁ,72,1,1
442,দি,72,2,0
443,দী,72,3,0
444,দু,72,4,0
445,দূ,72,5,0
446,দৃ,72,6,0
447,দে,72,7,0
448,দৈ,72,8,0
449,দো,72,9,0
450,দৌ,72,10,0
451,দ্ঘা,73,1,0
452,দ্দ,74,0,0
453,দ্দা,74,1,0
454,দ্দি,74,2,0
455,দ্দী,74,3,0
456,দ্দু,74,4,0
457,দ্দে,74,7,0
458,দ্দো,74,9,0
459,দ্দৌ,74,10,0
460,দ্ধ,75,0,0
461,দ্ধা,75,1,0
462,দ্ধি,75,2,0
463,দ্ধৃ,75,6,0
464,দ্ধে,75,7,0
465,দ্ব,76,0,0
466,দ্বা,76,1,0
467,দ্বি,76,2,0
468,দ্বী,76,3,0
469,দ্বু,76,4,0
470,দ্বৃ,76,6,0
471,দ্বে,76,7,0
472,দ্বৈ,76,8,0
473,দ্বো,76,9,0
474,দ্ব্য,76,0,4
475,দ্ভ,77,0,0
476,দ্ভা,77,1,0
477,দ্ভি,77,2,0
478,দ্ভু,77,4,0
479,দ্ভূ,77,5,0
480,দ্ভ্রা,77,1,5
481,দ্ম,78,0,0
482,দ্মা,78,1,0
483,দ্য,72,0,4
484,দ্যা,72,1,4
485,দ্যি,72,2,4
486,দ্যু,72,4,4
487,দ্যে,72,7,4
488,দ্যো,72,9,4
489,দ্র,72,0,5
490,দ্রা,72,1,5
491,দ্রি,72,2,5
492,দ্রী,72,3,5
493,দ্রু,72,4,5
494,দ্রূ,72,5,5
495,দ্রে,72,7,5
496,দ্রো,72,9,5
497,দ্রৌ,72,10,5
498,দ্র্য,72,0,6
499,ধ,79,0,0
500,ধা,79,1,0
501,ধাঁ,79,1,1
502,ধি,79,2,0
503,ধী,79,3,0
504,ধু,79,4,0
505,ধূ,79,5,0
506,ধৃ,79,6,0
507,ধে,79,7,0
508,ধৈ,79,8,0
509,ধো,79,9,0
510,ধৌ,79,10,0
511,ধ্ব,80,0,0
512,ধ্য,79,0,4
513,ধ্যা,79,1,4
514,ধ্যি,79,2,4
515,ধ্যু,79,4,4
516,ধ্যে,79,7,4
517,ধ্রু,79,4,5
518,ন,81,0,0
519,না,81,1,0
520,নি,81,2,0
521,নী,81,3,0
522,নু,81,4,0
523,নূ,81,5,0
524,নৃ,81,6,0
525,নে,81,7,0
526,নৈ,81,8,0
527,নো,81,9,0
528,নৌ,81,10,0
529,ন্জী,82,3,0
530,ন্জু,82,4,0
531,ন্ট,83,0,0
532,ন্টা,83,1,0
533,ন্টি,83,2,0
534,ন্টু,83,4,0
535,ন্টে,83,7,0
536,ন্টো,83,9,0
537,ন্ট্রা,83,1,5
538,ন্ট্রি,83,2,5
539,ন্ট্রো,83,9,5
540,ন্ঠ,84,0,0
541,ন্ঠি,84,2,0
542,ন্ঠে,84,7,0
543,ন্ড,85,0,0
544,ন্ডা,85,1,0
545,ন্ডি,85,2,0
546,ন্ডী,85,3,0
547,ন্ডু,85,4,0
548,ন্ডে,85,7,0
549,ন্ডো,85,9,0
550,ন্ড্র,85,0,5
551,ন্ড্রু,85,4,5
552,ন্ত,86,0,0
553,ন্তা,86,1,0
554,ন্তি,86,2,0
555,ন্তী,86,3,0
556,ন্তু,86,4,0
557,ন্তে,86,7,0
558,ন্তো,86,9,0
559,ন্ত্ব,87,0,0
560,ন্ত্য,86,0,4
561,ন্ত্র,86,0,5
562,ন্ত্রা,86,1,5
563,ন্ত্রি,86,2,5
564,ন্ত্রী,86,3,5
565,ন্ত্রে,86,7,5
566,ন্থ,88,0,0
567,ন্থা,88,1,0
568,ন্থি,88,2,0
569,ন্থী,88,3,0
570,ন্থে,88,7,0
571,ন্দ,89,0,0
572,ন্দা,89,1,0
573,ন্দি,89,2,0
574,ন্দী,89,3,0
575,ন্দু,89,4,0
576,ন্দে,89,7,0
577,ন্দো,89,9,0
578,ন্দ্ব,90,0,0
579,ন্দ্বি,90,2,0
580,ন্দ্বী,90,3,0
581,ন্দ্বে,90,7,0
582,ন্দ্য,89,0,4
583,ন্দ্যে,89,7,4
584,ন্দ্যো,89,9,4
585,ন্দ্র,89,0,5
586,ন্দ্রা,89,1,5
587,ন্দ্রি,89,2,5
588,ন্দ্রী,89,3,5
589,ন্দ্রে,89,7,5
590,ন্ধ,91,0,0
591,ন্ধা,91,1,0
592,ন্ধি,91,2,0
593,ন্ধী,91,3,0
594,ন্ধু,91,4,0
595,ন্ধে,91,7,0
596,ন্ধ্য,91,0,4
597,ন্ধ্যা,91,1,4
598,ন্ধ্যে,91,7,4
599,ন্ধ্র,91,0,5
600,ন্ন,92,0,0
601,ন্না,92,1,0
602,ন্নি,92,2,0
603,ন্নী,92,3,0
604,ন্নু,92,4,0
605,ন্নে,92,7,0
606,ন্ন্যা,92,1,4
607,ন্ব,93,0,0
608,ন্বি,93,2,0
609,ন্বী,93,3,0
610,ন্বে,93,7,0
611,ন্ম,94,0,0
612,ন্মা,94,1,0
613,ন্মি,94,2,0
614,ন্মু,94,4,0
615,ন্মে,94,7,0
616,ন্মো,94,9,0
617,ন্য,81,0,4
618,ন্যা,81,1,4
619,ন্যু,81,4,4
620,ন্যূ,81,5,4
621,ন্যে,81,7,4
622,ন্স,95,0,0
623,ন্সা,95,1,0
624,ন্সি,95,2,0
625,ন্সী,95,3,0
626,ন্সে,95,7,0
627,প,96,0,0
628,পঁ,96,0,1
629,পা,96,1,0
630,পাঁ,96,1,1
631,পি,96,2,0
632,পিঁ,96,2,1
633,পী,96,3,0
634,পু,96,4,0
635,পুঁ,96,4,1
636,পূ,96,5,0
637,পৃ,96,6,0
638,পে,96,7,0
639,পেঁ,96,7,1
640,পৈ,96,8,0
641,পো,96,9,0
642,পৌ,96,10,0
643,পৌঁ,96,10,1
644,প্ট,97,0,0
645,প্টা,97,1,0
646,প্টে,97,7,0
647,প্ত,98,0,0
648,প্তা,98,1,0
649,প্তি,98,2,0
650,প্তে,98,7,0
651,প্ন,99,0,0
652,প্না,99,1,0
653,প্নে,99,7,0
654,প্প,100,0,0
655,প্পা,100,1,0
656,প্পী,100,3,0
657,প্য,96,0,4
658,প্যা,96,1,4
659,প্র,96,0,5
660,প্রা,96,1,5
661,প্রি,96,2,5
662,প্রী,96,3,5
663,প্রু,96,4,5
664,প্রে,96,7,5
665,প্রো,96,9,5
666,প্র্যা,96,1,6
667,প্ল,101,0,0
668,প্লা,101,1,0
669,প্লি,101,2,0
670,প্লু,101,4,0
671,প্লে,101,7,0
672,প্লো,101,9,0
673,প্ল্যা,101,1,4
674,প্স,102,0,0
675,ফ,103,0,0
676,ফা,103,1,0
677,ফাঁ,103,1,1
678,ফি,103,2,0
679,ফী,103,3,0
680,ফু,103,4,0
681,ফুঁ,103,4,1
682,ফে,103,7,0
683,ফো,103,9,0
684,ফোঁ,103,9,1
685,ফৌ,103,10,0
686,ফ্ট,104,0,0
687,ফ্ফ,105,0,0
688,ফ্যা,103,1,4
689,ফ্র,103,0,5
690,ফ্রা,103,1,5
691,ফ্রি,103,2,5
692,ফ্রী,103,3,5
693,ফ্রু,103,4,5
694,ফ্রে,103,7,5
695,ফ্রো,103,9,5
696,ফ্র্যা,103,1,6
697,ফ্ল,106,0,0
698,ফ্লা,106,1,0
699,ফ্লে,106,7,0
700,ফ্লো,106,9,0
701,ফ্ল্যা,106,1,4
702,ব,107,0,0
703,বা,107,1,0
704,বাঁ,107,1,1
705,বি,107,2,0
706,বী,107,3,0
707,বু,107,4,0
708,বৃ,107,6,0
709,বে,107,7,0
710,বেঁ,107,7,1
711,বৈ,107,8,0
712,বো,107,9,0
713,বৌ,107,10,0
714,ব্জি,108,2,0
715,ব্দ,109,0,0
716,ব্দা,109,1,0
717,ব্দি,109,2,0
718,ব্দী,109,3,0
719,ব্দু,109,4,0
720,ব্দে,109,7,0
721,ব্ধ,110,0,0
722,ব্ধি,110,2,0
723,ব্ব,111,0,0
724,ব্বা,111,1,0
725,ব্বি,111,2,0
726,ব্বু,111,4,0
727,ব্য,107,0,4
728,ব্যা,107,1,4
729,ব্যি,107,2,4
730,ব্যু,107,4,4
731,ব্যূ,107,5,4
732,ব্যে,107,7,4
733,ব্র,107,0,5
734,ব্রা,107,1,5
735,ব্রি,107,2,5
736,ব্রী,107,3,5
737,ব্রু,107,4,5
738,ব্রে,107,7,5
739,ব্রো,107,9,5
740,ব্র্যা,107,1,6
741,ব্ল,112,0,0
742,ব্লা,112,1,0
743,ব্লি,112,2,0
744,ব্লু,112,4,0
745,ব্লে,112,7,0
746,ব্ল্যা,112,1,4
747,ভ,113,0,0
748,ভা,113,1,0
749,ভাঁ,113,1,1
750,ভি,113,2,0
751,ভী,113,3,0
752,ভু,113,4,0
753,ভূ,113,5,0
754,ভৃ,113,6,0
755,ভে,113,7,0
756,ভৈ,113,8,0
757,ভো,113,9,0
758,ভৌ,113,10,0
759,ভ্য,113,0,4
760,ভ্যা,113,1,4
761,ভ্যু,113,4,4
762,ভ্যূ,113,5,4
763,ভ্যে,113,7,4
764,ভ্র,113,0,5
765,ভ্রা,113,1,5
766,ভ্রু,113,4,5
767,ভ্রূ,113,5,5
768,ভ্লা,114,1,0
769,ম,115,0,0
770,মা,115,1,0
771,মি,115,2,0
772,মী,115,3,0
773,মু,115,4,0
774,মূ,115,5,0
775,মৃ,115,6,0
776,মে,115,7,0
777,মৈ,115,8,0
778,মো,115,9,0
779,মৌ,115,10,0
780,ম্ন,116,0,0
781,ম্না,116,1,0
782,ম্নী,116,3,0
783,ম্প,117,0,0
784,ম্পা,117,1,0
785,ম্পি,117,2,0
786,ম্পু,117,4,0
787,ম্পূ,117,5,0
788,ম্পৃ,117,6,0
789,ম্পে,117,7,0
790,ম্পো,117,9,0
791,ম্প্র,117,0,5
792,ম্প্রী,117,3,5
793,ম্ব,118,0,0
794,ম্বা,118,1,0
795,ম্বি,118,2,0
796,ম্বী,118,3,0
797,ম্বু,118,4,0
798,ম্বে,118,7,0
799,ম্বো,118,9,0
800,ম্ভ,119,0,0
801,ম্ভা,119,1,0
802,ম্ভি,119,2,0
803,ম্ভী,119,3,0
804,ম্ভু,119,4,0
805,ম্ভূ,119,5,0
806,ম্ভে,119,7,0
807,ম্ভো,119,9,0
808,ম্ভ্র,119,0,5
809,ম্ভ্রা,119,1,5
810,ম্ম,120,0,0
811,ম্মা,120,1,0
812,ম্মি,120,2,0
813,ম্মী,120,3,0
814,ম্মু,120,4,0
815,ম্মে,120,7,0
816,ম্মো,120,9,0
817,ম্য,115,0,4
818,ম্যা,115,1,4
819,ম্যু,115,4,4
820,ম্যে,115,7,4
821,ম্র,115,0,5
822,ম্রা,115,1,5
823,ম্ল,121,0,0
824,ম্লা,121,1,0
825,ম্লে,121,7,0
826,য,122,0,0
827,যা,122,1,0
828,যি,122,2,0
829,যী,122,3,0
830,যু,122,4,0
831,যূ,122,5,0
832,যে,122,7,0
833,যো,122,9,0
834,যৌ,122,10,0
835,য্য,122,0,4
836,য্যা,122,1,4
837,য্যে,122,7,4
838,র,123,0,0
839,রা,123,1,0
840,রাঁ,123,1,1
841,রি,123,2,0
842,রী,123,3,0
843,রু,123,4,0
844,রূ,123,5,0
845,রে,123,7,0
846,রৈ,123,8,0
847,রো,123,9,0
848,রৌ,123,10,0
849,র্ক,13,0,2
850,র্কা,13,1,2
851,র্কি,13,2,2
852,র্কী,13,3,2
853,র্কু,13,4,2
854,র্কে,13,7,2
855,র্কো,13,9,2
856,র্ক্স,21,0,2
857,র্ক্সী,21,3,2
858,র্খ,22,0,2
859,র্খা,22,1,2
860,র্খে,22,7,2
861,র্গ,23,0,2
862,র্গা,23,1,2
863,র্গি,23,2,2
864,র্গী,23,3,2
865,র্গু,23,4,2
866,র্গে,23,7,2
867,র্গো,23,9,2
868,র্ঘ,29,0,2
869,র্ঘা,29,1,2
870,র্ঘু,29,4,2
871,র্ঘ্য,29,0,3
872,র্চ,38,0,2
873,র্চা,38,1,2
874,র্চি,38,2,2
875,র্চে,38,7,2
876,র্ছ,42,0,2
877,র্ছা,42,1,2
878,র্জ,43,0,2
879,র্জা,43,1,2
880,র্জি,43,2,2
881,র্জী,43,3,2
882,র্জু,43,4,2
883,র্জে,43,7,2
884,র্জ্য,43,0,3
885,র্ঝ,48,0,2
886,র্ট,53,0,2
887,র্টা,53,1,2
888,র্টি,53,2,2
889,র্টু,53,4,2
890,র্টে,53,7,2
891,র্ড,56,0,2
892,র্ডা,56,1,2
893,র্ডি,56,2,2
894,র্ডে,56,7,2
895,র্ণ,59,0,2
896,র্ণা,59,1,2
897,র্ণি,59,2,2
898,র্ণী,59,3,2
899,র্ণে,59,7,2
900,র্ত,64,0,2
901,র্তা,64,1,2
902,র্তি,64,2,2
903,র্তী,64,3,2
904,র্তু,64,4,2
905,র্তৃ,64,6,2
906,র্তে,64,7,2
907,র্ত্ত,65,0,2
908,র্ত্তী,65,3,2
909,র্ত্রী,64,3,2
910,র্ত্রে,64,7,2
911,র্থ,71,0,2
912,র্থা,71,1,2
913,র্থি,71,2,2
914,র্থী,71,3,2
915,র্থে,71,7,2
916,র্থ্য,71,0,3
917,র্দ,72,0,2
918,র্দা,72,1,2
919,র্দি,72,2,2
920,র্দী,72,3,2
921,র্দু,72,4,2
922,র্দৃ,72,6,2
923,র্দে,72,7,2
924,র্দো,72,9,2
925,র্দ্দ,74,0,2
926,র্দ্দা,74,1,2
927,র্দ্ধ,75,0,2
928,র্দ্ধে,75,7,2
929,র্দ্ব,76,0,2
930,র্দ্বি,76,2,2
931,র্দ্র,72,0,2
932,র্ধ,79,0,2
933,র্ধা,79,1,2
934,র্ধি,79,2,2
935,র্ধে,79,7,2
936,র্ধ্ব,80,0,2
937,র্ধ্বে,80,7,2
938,র্ন,81,0,2
939,র্না,81,1,2
940,র্নি,81,2,2
941,র্নী,81,3,2
942,র্নে,81,7,2
943,র্নো,81,9,2
944,র্ন্ত,86,0,2
945,র্প,96,0,2
946,র্পি,96,2,2
947,র্পে,96,7,2
948,র্পো,96,9,2
949,র্ফ,103,0,2
950,র্ফি,103,2,2
951,র্ব,107,0,2
952,র্বা,107,1,2
953,র্বি,107,2,2
954,র্বু,107,4,2
955,র্বৃ,107,6,2
956,র্বে,107,7,2
957,র্বো,107,9,2
958,র্ব্ব,111,0,2
959,র্ব্য,107,0,3
960,র্ভ,113,0,2
961,র্ভা,113,1,2
962,র্ভি,113,2,2
963,র্ভু,113,4,2
964,র্ভূ,113,5,2
965,র্ভে,113,7,2
966,র্ভো,113,9,2
967,র্ম,115,0,2
968,র্মা,115,1,2
969,র্মি,115,2,2
970,র্মী,115,3,2
971,র্মু,115,4,2
972,র্মূ,115,5,2
973,র্মে,115,7,2
974,র্মো,115,9,2
975,র্ম্ম,120,0,2
976,র্য,122,0,2
977,র্যা,122,1,2
978,র্যে,122,7,2
979,র্যো,123,9,4
980,র্ল,124,0,2
981,র্লা,124,1,2
982,র্লি,124,2,2
983,র্ল্ড,128,0,2
984,র্শ,133,0,2
985,র্শা,133,1,2
986,র্শি,133,2,2
987,র্শী,133,3,2
988,র্শে,133,7,2
989,র্শ্ব,136,0,2
990,র্শ্বি,136,2,2
991,র্শ্বে,136,7,2
992,র্ষ,139,0,2
993,র্ষা,139,1,2
994,র্ষি,139,2,2
995,র্ষী,139,3,2
996,র্ষে,139,7,2
997,র্স,147,0,2
998,র্সা,147,1,2
999,র্সি,147,2,2
1000,র্সী,147,3,2
1001,র্সে,147,7,2
1002,র্স্ট,149,0,2
1003,র্স্থা,151,1,2
